vendor_name,Category,Location,Price Tier,Price (LKR),Rating (out of 5),Experience (Years),Weddings Completed,Response Time (Hours),Verified,Number of Packages,Social Media Followers,Repeat Client Rate,Recommended
Nimali Design Studio,Wedding Invitations,Jaffna,Mid-Range,44600,4.3,6,72,1.0,Yes,2,1361,0.37,Yes
Soundwave Entertainment,Entertainment,Colombo,Mid-Range,106600,4.2,5,115,4.7,Yes,5,39156,0.35,Yes
Nilmini Cake Designs,Wedding Cakes,Gampaha,Premium,88900,3.9,1,10,4.4,Yes,3,80866,0.31,No
Danidu Catering,Catering,Kegalle,Mid-Range,215400,4.2,3,36,24.1,Yes,5,10837,0.35,No
Suresh Visual Studio,Photographers,Badulla,Premium,284200,4.1,5,110,6.5,Yes,6,36611,0.41,Yes
Amali Makeup Studio,Attire & Beauty,Kandy,Mid-Range,71700,4.4,9,135,20.1,Yes,5,38883,0.48,Yes
Premier Events Lanka,Entertainment,Matara,Premium,352500,4.5,4,72,7.5,Yes,4,75778,0.48,Yes
Blush Print Lanka,Wedding Invitations,Colombo,Premium,64900,4.4,4,92,4.3,Yes,3,50001,0.51,Yes
Savoy Car Services,Wedding Cars,Vavuniya,Budget,19900,2.9,8,112,28.1,No,3,3805,0.11,No
Dawn Light Photography,Photographers,Badulla,Budget,34400,3.6,14,154,18.0,No,3,4612,0.37,No
Imara Lens Works,Photographers,Trincomalee,Premium,392500,3.9,15,300,1.2,No,5,49195,0.29,Yes
Prasanna Catering Services,Catering,Negombo,Budget,83900,3.1,13,234,5.7,No,1,1509,0.26,No
Sandun Photography,Photographers,Puttalam,Budget,26200,2.7,1,23,6.1,Yes,2,1764,0.08,No
Euphoria Band Lanka,Entertainment,Colombo,Mid-Range,121600,4.2,17,187,3.5,Yes,2,8092,0.41,Yes
Royal Script Invitations,Wedding Invitations,Kandy,Mid-Range,31300,3.3,7,147,20.6,Yes,2,9294,0.17,No
Bridal Wheels Lanka,Wedding Cars,Nuwara Eliya,Premium,102100,4.7,10,80,5.0,Yes,3,50767,0.53,No
Malsha Event Decor,Decorators,Kurunegala,Budget,33800,3.7,18,216,27.2,Yes,2,4236,0.34,Yes
Gala Events Sri Lanka,Entertainment,Gampaha,Mid-Range,66000,4.1,6,66,14.1,Yes,3,22279,0.41,Yes
Fiesta Entertainment Lanka,Entertainment,Kandy,Mid-Range,137500,3.4,8,136,18.8,Yes,2,16762,0.26,Yes
Eden Stationery Lanka,Wedding Invitations,Gampaha,Mid-Range,22800,4.2,13,325,9.1,No,2,25990,0.35,Yes
Gold Leaf Invitations,Wedding Invitations,Badulla,Premium,50600,4.3,13,299,0.5,Yes,6,5738,0.37,Yes
Vivid Moments Lanka,Photographers,Gampaha,Mid-Range,86900,3.5,4,92,2.9,Yes,3,25877,0.24,Yes
Nirosha Band Lanka,Entertainment,Galle,Mid-Range,132000,4.3,1,21,10.7,Yes,4,16488,0.49,Yes
Velvet Touch Cards Lanka,Wedding Invitations,Gampaha,Mid-Range,38000,3.9,12,132,22.0,Yes,2,30439,0.28,Yes
Moments by Kasun,Photographers,Colombo,Premium,277700,4.3,17,255,3.1,Yes,3,40992,0.43,Yes
Fondant Dreams Lanka,Wedding Cakes,Colombo,Budget,11900,3.7,7,56,34.4,Yes,1,6253,0.35,Yes
Vibrance Entertainment,Entertainment,Colombo,Premium,338000,4.1,13,195,2.9,Yes,4,27835,0.45,Yes
Dewmi Bridal Couture,Attire & Beauty,Anuradhapura,Budget,26500,3.6,14,250,27.9,No,1,3619,0.34,No
Butter & Bloom Cakes,Wedding Cakes,Colombo,Mid-Range,40100,4.7,15,180,22.5,Yes,2,17421,0.5,Yes
Nuwan Photography,Photographers,Badulla,Mid-Range,159700,4.4,15,255,14.7,No,2,21028,0.48,Yes
Maestro Events Lanka,Entertainment,Colombo,Budget,44000,3.0,3,33,32.1,Yes,2,7871,0.23,No
Sapphire Banquet Lanka,Venues,Gampaha,Mid-Range,430300,3.5,7,119,22.9,No,5,19603,0.28,No
Diamond Drive Lanka,Wedding Cars,Jaffna,Premium,183100,4.3,15,240,0.5,Yes,3,69972,0.49,Yes
Pearl Catering,Catering,Negombo,Mid-Range,313100,4.9,4,72,8.5,Yes,3,27406,0.53,Yes
Noble Fleet Lanka,Wedding Cars,Kandy,Mid-Range,35200,5.0,18,198,15.8,Yes,5,35630,0.52,Yes
Island Paradise Venue,Venues,Anuradhapura,Mid-Range,208400,4.5,10,110,14.8,Yes,5,24034,0.47,Yes
Amoda Catering,Catering,Colombo,Budget,169900,4.8,6,150,28.9,No,3,6414,0.47,Yes
Heaven's Gate Venue,Venues,Galle,Mid-Range,498500,3.6,3,33,2.6,Yes,5,5595,0.26,No
Forever Frames Lanka,Photographers,Gampaha,Mid-Range,121400,4.4,10,80,20.3,Yes,4,39098,0.38,Yes
Chauffeur Lanka,Wedding Cars,Anuradhapura,Budget,19000,3.6,18,250,26.0,No,3,743,0.31,No
Silver Note Band,Entertainment,Colombo,Mid-Range,66100,4.4,9,180,4.8,No,4,25134,0.4,Yes
Pearl Glow Beauty,Attire & Beauty,Colombo,Mid-Range,124000,3.9,1,11,23.4,Yes,5,7355,0.35,No
The Orchid Hall Lanka,Venues,Ratnapura,Mid-Range,269900,4.1,9,189,15.6,Yes,4,6119,0.44,Yes
Kadamba Entertainment,Entertainment,Gampaha,Mid-Range,106600,4.1,15,180,13.9,Yes,4,27793,0.35,No
Lakna Print Studio,Wedding Invitations,Kalutara,Budget,10000,2.9,4,76,33.9,Yes,1,6840,0.23,No
Sethum Decorators,Decorators,Ampara,Premium,744900,4.3,2,36,0.5,Yes,4,7726,0.44,Yes
Celebrate Cakes Lanka,Wedding Cakes,Trincomalee,Mid-Range,31100,4.0,1,17,16.8,Yes,4,22335,0.4,No
Nilaveli Bay Resort,Venues,Negombo,Mid-Range,387100,3.5,18,432,4.2,Yes,3,12162,0.24,Yes
Lens & Light Studio,Photographers,Ratnapura,Premium,437000,4.6,11,253,6.6,Yes,3,55117,0.48,Yes
Nayana Catering,Catering,Colombo,Mid-Range,401900,3.7,15,195,8.7,Yes,4,26335,0.37,Yes
Prism Photography Lanka,Photographers,Colombo,Budget,34800,3.9,4,88,29.7,No,1,335,0.42,No
Thisari Cake Studio,Wedding Cakes,Vavuniya,Premium,167800,4.2,11,110,1.8,Yes,3,66494,0.34,No
Tempo Lanka Band,Entertainment,Ratnapura,Mid-Range,105500,3.3,5,40,22.1,Yes,3,11390,0.23,No
Regal Bloom Decor,Decorators,Gampaha,Mid-Range,182900,4.7,8,136,6.5,Yes,2,40429,0.41,Yes
Crafted With Love Lanka,Wedding Invitations,Negombo,Mid-Range,27700,3.3,16,256,17.9,Yes,5,26858,0.3,No
Sunrise Catering Lanka,Catering,Hambantota,Budget,146300,3.5,11,209,8.8,No,1,2427,0.32,No
Vibe Events Lanka,Entertainment,Anuradhapura,Mid-Range,117900,3.9,17,238,14.4,Yes,5,19722,0.32,Yes
Elegant Tier Cakes,Wedding Cakes,Colombo,Mid-Range,71300,3.7,16,368,20.2,Yes,3,26839,0.35,Yes
Sithara Bridal Studio,Attire & Beauty,Trincomalee,Premium,283300,4.2,17,350,0.9,Yes,6,24352,0.46,Yes
Elegance Print Lanka,Wedding Invitations,Gampaha,Mid-Range,39500,4.8,2,36,8.9,Yes,5,1805,0.6,Yes
Classy Auto Weddings,Wedding Cars,Hambantota,Budget,10800,3.5,16,250,23.5,No,3,4196,0.31,No
Forever Drive Lanka,Wedding Cars,Kalutara,Premium,137100,4.0,3,60,0.8,Yes,4,10211,0.35,Yes
Delice Cake Lanka,Wedding Cakes,Matale,Mid-Range,64200,4.2,12,300,3.4,Yes,3,5255,0.39,Yes
Rustic Charm Invites,Wedding Invitations,Kegalle,Budget,8400,2.9,10,230,29.7,No,2,3516,0.18,No
Bloom Stationery Lanka,Wedding Invitations,Gampaha,Budget,9800,3.7,14,250,16.9,Yes,2,8902,0.32,Yes
Islandwide Entertainment,Entertainment,Colombo,Mid-Range,71500,3.9,13,221,1.7,No,3,35547,0.39,Yes
Amara Decor Lanka,Decorators,Gampaha,Premium,425000,4.2,16,350,2.0,Yes,5,48223,0.47,Yes
Ivory Wheels Lanka,Wedding Cars,Colombo,Premium,102400,4.5,17,153,5.2,Yes,3,88867,0.51,Yes
Lakeside Manor Lanka,Venues,Kandy,Premium,514500,4.2,14,322,6.4,Yes,4,14015,0.46,Yes
Dinemore Catering,Catering,Jaffna,Premium,650200,4.7,11,143,4.9,Yes,6,46796,0.52,Yes
Siyara Cake Creations,Wedding Cakes,Colombo,Mid-Range,49500,4.0,14,196,3.3,Yes,3,17228,0.43,Yes
Floral Bliss Decorators,Decorators,Colombo,Budget,79500,2.9,6,138,33.6,No,1,1396,0.12,No
Fusion Beats Lanka,Entertainment,Trincomalee,Budget,46600,3.0,5,70,8.3,No,3,5889,0.24,No
Shanth Entertainment,Entertainment,Gampaha,Budget,47700,3.0,7,119,33.0,Yes,3,6812,0.16,No
Chaminda Catering,Catering,Vavuniya,Premium,837900,3.5,16,176,5.3,Yes,4,77576,0.33,Yes
Rhythm Lanka Band,Entertainment,Kandy,Premium,297700,3.6,7,91,4.1,Yes,6,54575,0.21,Yes
Thisaru Decor Studio,Decorators,Polonnaruwa,Budget,61300,2.4,14,196,33.2,No,2,2236,0.06,No
Serendib Auto Lanka,Wedding Cars,Badulla,Premium,157100,4.6,3,72,4.5,Yes,6,12321,0.43,Yes
Nishantha Catering House,Catering,Nuwara Eliya,Mid-Range,369100,3.6,17,374,18.0,Yes,5,14057,0.21,Yes
Ayomi Bridal Boutique,Attire & Beauty,Trincomalee,Premium,384000,4.2,11,154,5.0,Yes,3,38546,0.46,Yes
Pearl Paper Studio,Wedding Invitations,Kandy,Mid-Range,22200,4.3,8,160,20.4,Yes,5,11908,0.48,Yes
First Class Limo Lanka,Wedding Cars,Negombo,Mid-Range,53700,3.8,8,200,21.6,Yes,3,13494,0.28,Yes
Sanda Catering Lanka,Catering,Puttalam,Mid-Range,318900,4.1,2,18,11.4,Yes,4,4667,0.32,No
Eden Event Decor,Decorators,Galle,Budget,47200,4.4,17,250,18.6,No,3,6685,0.39,No
Starlight Entertainment,Entertainment,Galle,Budget,17400,3.4,15,225,22.5,Yes,2,4765,0.28,Yes
Patisserie Ceylon,Wedding Cakes,Batticaloa,Mid-Range,71300,3.7,13,325,7.1,Yes,4,4562,0.27,Yes
Script & Seal Lanka,Wedding Invitations,Colombo,Premium,133300,4.4,16,350,5.4,No,6,63152,0.38,Yes
Prestige Drive Lanka,Wedding Cars,Jaffna,Mid-Range,38300,4.4,2,40,10.3,Yes,2,13635,0.39,Yes
Silk & Grace Atelier,Attire & Beauty,Colombo,Budget,30200,3.0,3,45,15.7,No,2,2989,0.15,No
Chamara Decorators,Decorators,Kandy,Premium,806300,3.9,7,119,4.5,Yes,6,70997,0.34,Yes
Whisk & Frost Lanka,Wedding Cakes,Galle,Mid-Range,54900,4.2,5,85,20.4,Yes,4,2494,0.44,Yes
Capture Ceylon,Photographers,Gampaha,Budget,53000,3.0,7,168,22.6,No,2,2153,0.18,Yes
The Terrace Venue Lanka,Venues,Galle,Budget,135300,3.4,14,250,22.2,No,2,5896,0.31,No
Chamara Beauty Studio,Attire & Beauty,Colombo,Budget,21100,4.6,16,250,11.9,Yes,2,5890,0.41,Yes
Radiant Bride Lanka,Attire & Beauty,Kurunegala,Budget,42600,3.7,12,240,11.1,Yes,3,5087,0.39,Yes
Royal Feast Catering,Catering,Gampaha,Budget,176800,2.4,1,17,15.3,Yes,1,9394,0.01,No
Malini Catering Services,Catering,Kandy,Mid-Range,383800,4.1,10,110,12.6,Yes,3,15964,0.32,Yes
Premasiri Catering,Catering,Badulla,Premium,952100,4.2,13,286,0.6,Yes,4,76299,0.46,Yes
Ivory Castle Hall,Venues,Kegalle,Budget,78200,3.3,5,45,35.2,Yes,3,3419,0.26,No
Melody Makers Lanka,Entertainment,Colombo,Budget,32600,4.1,5,90,11.2,Yes,1,928,0.31,No
Thisara Visual Studio,Photographers,Matale,Premium,269900,4.7,8,152,2.3,Yes,3,44969,0.54,Yes
Milestone Photography,Photographers,Gampaha,Mid-Range,116500,4.2,14,308,3.7,Yes,4,21497,0.35,Yes
Mihiri Bridal Couture,Attire & Beauty,Kalutara,Mid-Range,71100,3.4,11,242,17.1,Yes,5,1119,0.26,Yes
Golden Hour Lanka,Photographers,Kegalle,Mid-Range,172400,4.1,13,130,7.9,Yes,3,4772,0.47,Yes
Samitha Catering,Catering,Matale,Premium,1134500,3.9,9,153,6.7,Yes,3,37539,0.38,Yes
Gardenia Venue Lanka,Venues,Anuradhapura,Mid-Range,488600,3.9,4,80,1.8,Yes,2,11527,0.3,No
Nelum Catering Lanka,Catering,Gampaha,Budget,125900,3.5,6,108,19.4,Yes,3,8569,0.28,No
Live Beat Productions,Entertainment,Negombo,Premium,179300,4.9,9,180,6.2,Yes,3,96736,0.51,Yes
Crystal Car Hire,Wedding Cars,Gampaha,Mid-Range,25600,4.3,15,345,1.7,No,4,9172,0.45,Yes
Thilini Beauty Salon,Attire & Beauty,Batticaloa,Mid-Range,69400,3.6,7,98,5.2,No,3,12409,0.27,No
Forever Ink Invitations,Wedding Invitations,Matara,Mid-Range,40400,3.1,3,42,13.9,No,5,22693,0.22,No
Pearls & Lace Boutique,Attire & Beauty,Badulla,Budget,18900,3.1,10,90,10.5,No,2,3469,0.27,No
Shutter & Soul Photography,Photographers,Ratnapura,Budget,29000,3.6,4,32,34.4,No,2,1256,0.26,No
Ama Bridal Studio,Attire & Beauty,Kurunegala,Budget,30700,4.2,6,84,35.0,No,2,3626,0.45,Yes
Sunrise Print Lanka,Wedding Invitations,Trincomalee,Mid-Range,35100,4.1,11,209,15.2,Yes,3,10492,0.44,Yes
Blue Horizon Hall,Venues,Ampara,Mid-Range,304300,3.7,4,100,17.8,Yes,4,13000,0.35,Yes
Sachith Photography,Photographers,Gampaha,Mid-Range,68600,3.9,12,144,19.3,Yes,2,1663,0.26,Yes
Thilina Banquet Hall,Venues,Colombo,Premium,1123100,4.0,17,255,3.2,Yes,6,62035,0.45,Yes
Bloom Cake Studio,Wedding Cakes,Jaffna,Premium,160700,5.0,15,330,3.9,Yes,5,20323,0.58,Yes
Luxe Decor Lanka,Decorators,Kurunegala,Mid-Range,278300,4.2,16,192,4.2,Yes,2,19787,0.41,Yes
Pristine Event Decor,Decorators,Ratnapura,Mid-Range,242700,4.2,17,391,6.9,Yes,5,24283,0.34,Yes
Lace & Letter Lanka,Wedding Invitations,Kalutara,Mid-Range,25800,3.9,11,154,8.0,Yes,3,13801,0.42,Yes
Serenade Entertainment,Entertainment,Colombo,Budget,27700,3.7,3,63,25.1,Yes,3,2537,0.28,No
Anoma Catering House,Catering,Colombo,Budget,176500,3.4,17,153,11.6,No,2,4436,0.3,No
Nisha Bridal Collections,Attire & Beauty,Galle,Premium,208700,4.8,8,200,6.1,Yes,5,57127,0.44,No
Viceroy Motors Lanka,Wedding Cars,Galle,Budget,10400,2.5,7,175,20.4,No,1,4957,0.17,No
Amora Cake Boutique,Wedding Cakes,Colombo,Budget,18600,3.0,16,250,1.9,Yes,3,836,0.22,Yes
Graceful Rides Lanka,Wedding Cars,Matale,Budget,15400,4.1,8,176,26.0,Yes,2,5511,0.41,Yes
Anoma Cake House,Wedding Cakes,Gampaha,Budget,24200,3.5,4,80,13.4,No,1,9223,0.24,No
Elite Fleet Lanka,Wedding Cars,Vavuniya,Premium,191600,4.8,16,272,2.0,Yes,4,67978,0.54,No
Harmony Events Lanka,Entertainment,Colombo,Premium,204500,3.7,13,299,1.8,Yes,5,92122,0.24,Yes
Suyama Car Services,Wedding Cars,Kurunegala,Budget,16400,2.7,7,105,10.3,No,2,5446,0.13,No
Crescendo Band Lanka,Entertainment,Jaffna,Mid-Range,105100,3.3,1,10,19.7,Yes,2,14833,0.34,No
Bridal Fleet Lanka,Wedding Cars,Vavuniya,Mid-Range,56200,4.0,12,228,11.9,Yes,4,19942,0.3,Yes
Dilini Makeup & Bridal,Attire & Beauty,Trincomalee,Budget,32900,3.7,4,96,3.2,No,1,1943,0.38,No
Regal Print Studio,Wedding Invitations,Colombo,Budget,7800,3.5,7,154,23.8,Yes,1,5634,0.33,No
The Heritage Hall Lanka,Venues,Colombo,Budget,70100,3.1,7,175,19.4,No,3,2787,0.2,No
Sandagiri Venue Lanka,Venues,Colombo,Premium,973000,4.8,4,52,7.4,Yes,5,76824,0.55,Yes
Golden Palm Venue,Venues,Galle,Mid-Range,263300,4.2,11,209,2.7,Yes,2,5298,0.43,Yes
Cinnamon Gardens Hall,Venues,Anuradhapura,Mid-Range,314000,3.9,7,147,11.5,Yes,5,5301,0.38,Yes
Pearl Auto Lanka,Wedding Cars,Colombo,Premium,171500,3.3,8,144,1.4,Yes,6,39372,0.28,Yes
Ceylon Feast,Catering,Kurunegala,Mid-Range,366600,3.9,4,68,14.8,Yes,3,22869,0.32,Yes
Sweet Layers Lanka,Wedding Cakes,Kalutara,Budget,23600,3.2,16,224,16.8,Yes,2,1711,0.3,Yes
The Manor Lanka,Venues,Matara,Premium,1724300,3.8,7,105,3.8,Yes,4,38495,0.28,Yes
Suwandha Catering,Catering,Gampaha,Mid-Range,317300,3.8,3,54,21.1,No,3,29654,0.31,No
Frame Perfect Lanka,Photographers,Gampaha,Budget,27500,2.9,12,250,16.1,Yes,2,13887,0.2,Yes
Sanda Stationery Lanka,Wedding Invitations,Trincomalee,Mid-Range,25300,4.7,4,32,9.7,Yes,5,21726,0.42,Yes
Rasa Catering,Catering,Hambantota,Budget,165400,3.0,17,238,15.0,No,3,6404,0.16,No
Flavours of Ceylon,Catering,Kurunegala,Budget,197800,4.2,15,165,15.8,No,3,3975,0.43,Yes
Sunil Perera Entertainment,Entertainment,Ratnapura,Budget,36800,3.7,8,168,18.2,Yes,2,4950,0.41,Yes
Sugar & Spice Cakes Lanka,Wedding Cakes,Colombo,Mid-Range,58000,4.0,14,112,4.7,Yes,2,26635,0.32,Yes
Heritage Invites Lanka,Wedding Invitations,Hambantota,Mid-Range,47200,4.0,1,21,11.1,Yes,2,22338,0.31,No
Cloud Nine Cakes,Wedding Cakes,Gampaha,Premium,249600,5.0,17,350,1.9,Yes,3,45795,0.51,Yes
Bloom & Blossom Decor,Decorators,Kegalle,Budget,66500,3.9,3,24,25.1,Yes,1,7263,0.33,No
Vision Studio Lanka,Photographers,Kalutara,Budget,51800,3.8,4,68,4.5,No,2,6588,0.39,No
Suranga Bridal House,Attire & Beauty,Batticaloa,Mid-Range,123600,5.0,8,144,10.8,Yes,3,20311,0.52,Yes
Amara Paper Works,Wedding Invitations,Hambantota,Premium,124900,4.6,10,80,5.4,Yes,6,22137,0.52,Yes
Lakshika Bridal Atelier,Attire & Beauty,Galle,Premium,388000,4.7,1,22,1.2,No,5,36945,0.57,Yes
Lotus Flower Decorators,Decorators,Kalutara,Mid-Range,155200,3.5,4,52,2.5,Yes,5,18583,0.29,Yes
Enchanted Events Lanka,Decorators,Anuradhapura,Mid-Range,279800,3.2,12,228,17.5,Yes,5,21600,0.15,Yes
Luxury Rides Lanka,Wedding Cars,Kurunegala,Premium,88800,4.3,5,80,1.6,Yes,4,46866,0.45,Yes
Lakeview Banquet Lanka,Venues,Kalutara,Budget,83800,2.9,8,112,25.5,Yes,1,4741,0.09,No
Ceylon Script Studio,Wedding Invitations,Kurunegala,Mid-Range,46200,3.9,18,342,22.3,Yes,3,19881,0.38,Yes
Bloom Bridal Studio,Attire & Beauty,Matara,Mid-Range,111200,3.3,6,72,11.9,Yes,4,15465,0.33,Yes
Eternity Shots,Photographers,Gampaha,Budget,42100,3.2,8,168,18.3,Yes,2,7489,0.19,Yes
Regal Gardens Lanka,Venues,Gampaha,Premium,1696200,3.6,4,96,7.8,Yes,6,100000,0.34,Yes
Groove Island Band,Entertainment,Ampara,Mid-Range,72500,3.8,10,80,0.5,Yes,5,23397,0.35,Yes
Jasmine Hall Lanka,Venues,Kegalle,Mid-Range,172700,3.8,5,105,16.5,Yes,4,12858,0.35,Yes
Kaushi Cake Studio,Wedding Cakes,Gampaha,Mid-Range,52800,4.7,16,208,8.2,No,5,9109,0.59,Yes
Sunset Venue Lanka,Venues,Colombo,Mid-Range,258200,4.1,12,132,12.8,Yes,2,29849,0.42,Yes
Divya Beauty Lounge,Attire & Beauty,Galle,Mid-Range,99900,4.5,16,256,12.1,Yes,4,6722,0.41,Yes
Radiant Decor Studio,Decorators,Galle,Mid-Range,121000,3.7,4,68,3.9,No,4,10198,0.27,No
Serenity Decorators,Decorators,Kurunegala,Budget,53400,4.2,2,22,8.8,Yes,1,6359,0.45,No
Velvet Crumb Cakes,Wedding Cakes,Negombo,Premium,179600,4.7,8,128,5.8,Yes,6,44699,0.42,Yes
The Pavilion Lanka,Venues,Ratnapura,Premium,1079500,3.8,3,36,2.0,Yes,3,35899,0.3,Yes
Hasini Bridal Fashion,Attire & Beauty,Batticaloa,Budget,31300,2.8,3,45,11.4,Yes,1,4210,0.15,No
Calligraphy Lanka,Wedding Invitations,Kalutara,Mid-Range,33700,3.8,2,36,9.2,Yes,4,1985,0.4,No
Dimuth Photography,Photographers,Badulla,Premium,246000,4.2,11,220,2.5,Yes,5,30812,0.39,Yes
Kavisha Beauty Studio,Attire & Beauty,Nuwara Eliya,Mid-Range,59900,4.6,15,300,22.1,Yes,2,14527,0.46,Yes
Thisara Catering,Catering,Badulla,Premium,503400,4.3,15,150,5.7,Yes,6,47209,0.42,Yes
Dulari Bridal World,Attire & Beauty,Badulla,Premium,305800,4.3,15,330,2.6,Yes,6,68332,0.45,Yes
Island Sweet Creations,Wedding Cakes,Kegalle,Mid-Range,41200,4.8,7,119,22.6,Yes,2,13231,0.44,No
Amara Banquet Hall,Venues,Colombo,Mid-Range,331700,3.9,13,221,5.4,Yes,4,9352,0.4,Yes
Spice Garden Catering,Catering,Gampaha,Premium,905400,4.8,13,195,3.3,Yes,4,66466,0.46,Yes
Regal Tier Cakes,Wedding Cakes,Trincomalee,Premium,109400,4.9,6,108,5.0,Yes,5,18361,0.53,Yes
Seyli Bridal Couture,Attire & Beauty,Puttalam,Mid-Range,94100,3.6,2,36,16.2,Yes,2,24438,0.28,No
Sapphire Decor Lanka,Decorators,Jaffna,Premium,672900,4.3,6,72,3.4,Yes,6,78098,0.39,Yes
Bespoke Invites Lanka,Wedding Invitations,Negombo,Premium,111100,4.6,8,96,6.8,Yes,6,19573,0.42,Yes
Grand Ceylon Venue,Venues,Kalutara,Premium,1703900,3.7,13,325,0.5,Yes,5,73125,0.36,Yes
Glam Lanka Bridal Studio,Attire & Beauty,Ratnapura,Premium,303300,4.4,15,285,2.8,Yes,3,60920,0.43,Yes
Royal Motor Weddings,Wedding Cars,Matale,Premium,186600,4.8,9,81,5.5,Yes,4,39497,0.45,Yes
Dream Decor Creations,Decorators,Gampaha,Mid-Range,271500,4.0,5,45,15.3,Yes,4,25687,0.44,No
Classic Ceylon Cars,Wedding Cars,Colombo,Mid-Range,22800,4.1,18,270,5.7,Yes,4,18733,0.44,Yes
The Grand Pavilion Lanka,Venues,Nuwara Eliya,Budget,60200,3.2,4,76,2.4,No,1,5500,0.21,No
Candid Moments Lanka,Photographers,Kandy,Premium,227800,4.6,2,46,5.1,Yes,3,12440,0.41,Yes
Infinite Lens Studio,Photographers,Gampaha,Budget,44400,3.7,5,105,14.5,No,3,11537,0.25,No
Ravindu Photography,Photographers,Kalutara,Mid-Range,165900,4.4,4,52,2.3,Yes,2,3002,0.38,No
Kantha Print Lanka,Wedding Invitations,Negombo,Mid-Range,49900,3.7,16,128,13.5,Yes,4,25694,0.39,Yes
Premium Wheels Lanka,Wedding Cars,Ratnapura,Mid-Range,42200,4.0,13,234,18.2,Yes,4,23651,0.4,Yes
Crystal Ballroom Lanka,Venues,Batticaloa,Mid-Range,154900,3.3,5,115,16.5,Yes,2,4728,0.24,Yes
Chamindi Cake House,Wedding Cakes,Colombo,Budget,12100,4.4,17,250,22.6,Yes,3,1262,0.38,No
Blossom Bake Studio,Wedding Cakes,Gampaha,Premium,178200,3.5,6,120,2.8,Yes,4,42272,0.27,Yes
Lotus Garden Venue,Venues,Batticaloa,Premium,1024300,4.5,5,65,4.3,Yes,3,12324,0.39,Yes
Nelum Decorators,Decorators,Gampaha,Mid-Range,260200,3.9,5,80,19.4,Yes,5,28436,0.28,Yes
Regal Feast Catering,Catering,Colombo,Mid-Range,392900,4.0,4,68,7.3,Yes,4,25128,0.42,Yes
Delight Cakes Lanka,Wedding Cakes,Matale,Premium,161200,4.1,7,70,4.8,Yes,3,5982,0.35,Yes
Nalin Visual Arts,Photographers,Nuwara Eliya,Premium,319100,4.0,14,196,2.7,Yes,5,48792,0.42,Yes
Elegance Auto Lanka,Wedding Cars,Matara,Mid-Range,38300,3.1,7,77,16.4,Yes,5,10962,0.16,No
White Rose Limo Lanka,Wedding Cars,Galle,Budget,9000,3.2,16,250,10.1,No,2,5590,0.27,No
Bloom & Write Lanka,Wedding Invitations,Ratnapura,Mid-Range,32100,3.5,9,171,3.2,Yes,3,14524,0.24,Yes
Malisha Cake Designs,Wedding Cakes,Gampaha,Mid-Range,37300,4.1,10,90,14.9,Yes,2,14167,0.31,Yes
Elegant Touch Decor,Decorators,Kandy,Mid-Range,150600,3.6,11,264,6.0,Yes,2,6323,0.29,Yes
Celebration Craft Lanka,Decorators,Kandy,Mid-Range,252000,4.2,5,50,12.0,Yes,4,31792,0.39,Yes
Celebration Sounds Lanka,Entertainment,Nuwara Eliya,Mid-Range,120700,3.2,3,39,9.2,Yes,5,18649,0.2,No
Sundara Cake Studio,Wedding Cakes,Hambantota,Budget,23300,3.2,12,216,30.0,No,2,1651,0.29,No
Artisan Cards Lanka,Wedding Invitations,Negombo,Mid-Range,46200,4.2,11,275,9.9,Yes,4,7009,0.39,Yes
Lakshmi Catering House,Catering,Vavuniya,Budget,99100,3.6,17,250,31.8,No,1,395,0.26,Yes
Paper & Petals Lanka,Wedding Invitations,Kalutara,Mid-Range,38500,3.1,5,70,10.4,Yes,3,21131,0.19,No
Pulse Entertainment,Entertainment,Kegalle,Mid-Range,134400,3.7,12,216,13.5,Yes,2,22883,0.32,Yes
Royal Melodies Lanka,Entertainment,Galle,Budget,39100,3.2,2,16,35.0,No,3,7304,0.28,No
Crystal Clear Photography,Photographers,Gampaha,Budget,38800,4.2,3,60,20.0,Yes,1,2499,0.44,Yes
Chaminda Lens Studio,Photographers,Kurunegala,Mid-Range,122500,4.1,5,40,19.7,Yes,2,11577,0.36,Yes
Glow Events Decor,Decorators,Kalutara,Budget,58700,3.6,3,30,9.2,No,1,5694,0.22,No
Alegria Entertainment,Entertainment,Kalutara,Budget,27700,2.5,2,48,17.7,No,2,1272,0.07,No
Royal Icing Lanka,Wedding Cakes,Nuwara Eliya,Budget,14500,3.4,1,19,29.8,Yes,3,1329,0.33,No
Nimasha Bridal Studio,Attire & Beauty,Gampaha,Premium,218900,4.2,12,120,1.7,Yes,5,52758,0.45,Yes
Sweet Creations Lanka,Wedding Cakes,Badulla,Mid-Range,78200,4.4,11,176,12.6,Yes,2,2431,0.46,Yes
Pearl Hall Colombo,Venues,Kandy,Budget,118900,3.0,8,104,31.7,No,3,1667,0.24,No
Petal & Vine Decorators,Decorators,Gampaha,Mid-Range,224300,4.2,2,36,20.8,No,5,42660,0.4,No
Serenity Resort Venue,Venues,Batticaloa,Mid-Range,418500,3.8,4,32,22.7,Yes,2,17351,0.32,No
DJ Kasun Events,Entertainment,Colombo,Mid-Range,79700,4.6,4,44,17.4,Yes,3,42452,0.51,Yes
Ink & Ivory Invitations,Wedding Invitations,Jaffna,Budget,7900,2.9,17,221,2.8,No,2,2789,0.24,No
